,SSP119_first10_lon,SSP119_last10_lon,SSP245_first10_lon,SSP245_last10_lon,SSP585_first10_lon,SSP585_last10_lon
0,20.802602184480577,21.676387961127432,20.89017116653548,22.782220824617355,20.78333005466925,24.810304446823466
1,21.155434251677434,21.986755524498847,21.2138862013187,23.13390450236733,21.102160243163496,25.1643319173304
2,19.93034661672874,20.69012049784584,19.90635009389416,21.83665892712321,19.94175398515233,23.814556142552476
3,19.38194258037538,20.130944385701753,19.370828404270355,21.22986224966843,19.403497235117413,23.125269074863866
4,18.716975192638927,19.443687546354965,18.70908754499027,20.54730171511227,18.74621216969399,22.394639664446572
5,20.29674580736838,20.963196809316003,20.296828754420517,22.185514459943306,20.328660403700326,24.04345482279018
6,20.381507127242514,21.052820181390416,20.37215540481725,22.362034348945258,20.409494001255155,24.172369477818734
7,19.909419268318516,20.659883578870392,19.87363456689542,22.03698274962096,19.977277669963655,23.905750858912597
8,19.910185075339598,20.665197128716102,19.86090827940376,22.12198432434235,19.96862392306099,24.058985509242973
9,19.591811363090926,20.341034056017463,19.55394360713956,21.804966487945023,19.635825418736886,23.759467281106367
10,19.340298581182367,20.0672461193941,19.30673188224648,21.540338684667176,19.362997839626644,23.502144507632806
11,18.904349977610423,19.600521149578753,18.866235402663676,21.095283927443802,18.93987807557005,23.092121625871812
12,19.478269263325387,20.15700210077665,19.421085124263527,21.618058096132813,19.503064359047357,23.68216309298117
13,19.879573901337267,20.50761650573139,19.809814805689314,21.946274475054338,19.88484645188555,23.93439740333514
14,18.89751914833954,19.547514305050584,18.843288693134866,20.942170702045757,18.88726886827999,22.88639309026587
15,18.22774456555527,19.000885561660255,18.19995325478584,20.386349571861786,18.227470797038507,22.35988944761317
16,20.101054015707064,20.99754082208642,20.098134975101857,22.214139958435624,20.089618166146522,24.151541495431673
17,18.13355292471948,19.08428332956197,18.146730104772132,20.398380723286664,18.141577632492897,22.459686890958892
18,18.769327967085587,19.664434461130725,18.77235512977842,20.860816575434285,18.796790987041618,22.908208141157672
19,19.289754140237676,20.090080782110704,19.287283504083575,21.234680654815975,19.32933515813943,23.166276955270973
20,17.88900020135611,18.66294407378183,17.884756925090358,19.726397315985537,17.943029439037105,21.68041904293017
