,Unnamed: 0,SSP119_first10_lat,SSP119_last10_lat,SSP245_first10_lat,SSP245_last10_lat,SSP585_first10_lat,SSP585_last10_lat
0,0,-45.23150075359476,-44.14144808786355,-45.21496131865618,-42.36704464905492,-44.6848260692048,-39.2384358910781
1,1,-41.66940199988596,-40.64788000813246,-41.48457652122124,-39.20062235460932,-41.0062319140973,-36.38477521848128
2,2,-35.52796060545117,-34.653823309778915,-35.31478849075194,-33.2939470808532,-34.916030428593075,-30.669587076777447
3,3,-33.01985412621727,-32.19439570706848,-32.71009899502056,-30.705699937563736,-32.41615146456874,-27.997826049851085
4,4,-34.099341592821474,-33.29404531069511,-33.78452015375794,-31.719295429452217,-33.576684282147625,-28.9561558409836
5,5,-32.871797449411304,-32.085634795279674,-32.58299287911075,-30.498284208701307,-32.35109187608069,-27.73038796878282
6,6,-30.270046563276765,-29.576953788465744,-30.009993161723514,-28.09777915375136,-29.83759607276221,-25.45546523438469
7,7,-27.806093381196064,-27.20778513894132,-27.628987091447016,-25.772277221916823,-27.43421721140882,-23.31868546025277
8,8,-23.5423976837192,-23.12826883862945,-23.430602843510968,-21.71936425809031,-23.271928374575225,-19.44178877344564
9,9,-21.495284972091724,-21.156771216994716,-21.5160255760303,-19.859731095024586,-21.384645463672054,-17.742324911594153
10,10,-16.378548835240792,-16.152146229171365,-16.443848278096084,-15.023594410476278,-16.324546539741846,-13.017194174206622
11,11,-11.87081480527479,-11.624423955962754,-12.005402319532152,-10.713364630653473,-11.792912983520466,-8.875581675867238
12,12,-6.5703932452743175,-6.384295244910391,-6.638326754492937,-5.539911896012313,-6.53385657125358,-3.4452222297801427
13,13,-0.517040922414651,-0.5369659733357821,-0.746238018547615,0.2390570343152944,-0.4716423717812859,1.573567628233718
14,14,0.928477352686059,0.9151491813452708,0.6853107605754758,1.6566007212740033,0.9094693285858284,2.8309787663643533
15,15,-0.5488978954161325,-0.6385032461367928,-0.971288131433937,0.0675649911622144,-0.5840084606651317,1.0860927196426928
16,16,1.0144544034077967,0.9395803566891914,0.6551246003744495,1.6268436074158783,0.9792594493105184,2.719088006848267
17,17,4.886728328214474,4.951380471108337,4.559954415722132,5.669733160465114,4.776999224427016,6.7936085616434525
18,18,5.4234036399437855,5.509085568822513,5.126394816217783,6.25742876542472,5.334997034032824,7.46309815469931
19,19,7.553854035986433,7.611928225177394,7.229614185490846,8.357150554324107,7.347798603417061,9.62060753710432
20,20,7.63512110934289,7.794673313795499,7.454254298107401,8.60133811887647,7.508486358953064,9.991908528891315
21,21,9.00758423637336,9.152098079228551,8.881911927955741,10.034911665951311,8.837730005362857,11.47153161149879
22,22,9.842670515814008,9.96909055178952,9.709612311142337,10.921741386313728,9.628992316945244,12.47397831195542
23,23,11.95167308825637,12.11477292649289,11.862755232188078,13.101462432893696,11.84993739142334,14.729317947153676
24,24,12.949942446453008,13.101064578776914,12.839936464367328,14.158688013613585,12.824267603051853,15.80337971433761
25,25,14.856571923557055,15.04636162761193,14.750425665353418,16.120299163830794,14.731279325281378,17.80632701096016
26,26,15.940607317438094,16.18769148640638,15.91274506480636,17.28500272213404,15.783477393322016,18.93422898440372
27,27,17.867548856737073,18.190438892469217,17.91770344084148,19.370671630307868,17.69381310476689,21.019240392588983
28,28,19.092411785684877,19.48928098802372,19.19971831459208,20.705127349843,18.90698088895965,22.398226739313657
29,29,20.73420519597704,21.229784533940347,20.79014950684183,22.664278973484443,20.51560172839305,24.564040651243488
30,30,22.252973345268515,22.72775753924674,22.246470500934493,24.16576656804796,21.98299014274568,26.08200549731021
31,31,23.187739214933515,23.702843431088866,23.192872218150683,25.216442377235182,22.95590775261411,27.174561659657115
32,32,24.13976056262021,24.683777299207065,24.153276485726963,26.15317909074662,23.948615308881244,28.06438533036618
33,33,24.93058341292584,25.40093593395335,24.9392197227192,26.770512712114737,24.83184502733826,28.54269437034634
34,34,25.542188357334453,25.999822828033476,25.554620595019344,27.33393319351387,25.4559832745457,29.08448766516028
35,35,25.686088745299912,26.14698940954696,25.672495704574544,27.398440710540683,25.61457593369892,29.083416274189855
36,36,26.380025048400967,26.82160268454481,26.347563390555365,28.04041457189055,26.318668483100225,29.68801631912595
37,37,26.52435174593984,26.951440170777005,26.514834424005016,28.18924435090929,26.461106764944876,29.79770671136879
